"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"07-Jun-2006","-","-","-","     2213.08","        5559822","          221.69"
"08-Jun-2006","-","-","-","     2076.28","        6020811","          179.04"
"09-Jun-2006","-","-","-","     2171.01","        5356161","          185.13"
"12-Jun-2006","-","-","-","     2153.17","        3990007","          151.55"
"13-Jun-2006","-","-","-","     2089.78","        3636401","          118.65"
"14-Jun-2006","-","-","-","     2058.40","        3496649","          126.52"
"15-Jun-2006","-","-","-","     2151.53","        3190593","          110.55"
"16-Jun-2006","-","-","-","     2207.40","        4038727","          145.93"
"19-Jun-2006","-","-","-","     2233.53","        3047094","           99.05"
"20-Jun-2006","-","-","-","     2208.05","        2783898","          105.90"
"21-Jun-2006","-","-","-","     2273.58","        2953344","          133.19"
"22-Jun-2006","-","-","-","     2288.64","        5203885","          234.88"
"23-Jun-2006","-","-","-","     2302.17","        4335531","          181.64"
"25-Jun-2006","-","-","-","     2317.58","         506642","           21.60"
"26-Jun-2006","-","-","-","     2242.86","        4179209","          146.31"
"27-Jun-2006","-","-","-","     2247.35","        5676367","          194.09"
"28-Jun-2006","-","-","-","     2223.00","        4007027","          149.19"
"29-Jun-2006","-","-","-","     2235.70","        6269218","          230.96"
"30-Jun-2006","-","-","-","     2285.92","        6058937","          278.55"
"03-Jul-2006","-","-","-","     2280.93","        3627204","          130.33"
"04-Jul-2006","-","-","-","     2255.98","        4202790","          145.45"
"05-Jul-2006","-","-","-","     2293.32","        5481789","          209.99"
"06-Jul-2006","-","-","-","     2276.66","        2721707","          106.15"
"07-Jul-2006","-","-","-","     2240.16","        3880218","          132.91"
"10-Jul-2006","-","-","-","     2258.04","        2117752","           70.41"
"11-Jul-2006","-","-","-","     2286.77","        4690383","          158.37"
"12-Jul-2006","-","-","-","     2294.39","        3218634","          112.64"
"13-Jul-2006","-","-","-","     2297.00","        3950450","          130.31"
"14-Jul-2006","-","-","-","     2267.02","        2801448","          105.47"
"17-Jul-2006","-","-","-","     2200.93","        2979033","          118.26"
"18-Jul-2006","-","-","-","     2210.24","        3928680","          141.81"
"19-Jul-2006","-","-","-","     2179.26","        2787618","           97.56"
"20-Jul-2006","-","-","-","     2246.87","        4778163","          171.97"
"21-Jul-2006","-","-","-","     2234.36","        4976864","          157.34"
"24-Jul-2006","-","-","-","     2231.75","        4973188","          151.63"
"25-Jul-2006","-","-","-","     2278.62","        2760001","          100.25"
"26-Jul-2006","-","-","-","     2326.97","        4401961","          173.45"
"27-Jul-2006","-","-","-","     2350.34","        5531104","          236.69"
"28-Jul-2006","-","-","-","     2365.26","        3833034","          259.37"
"31-Jul-2006","-","-","-","     2365.70","        3285340","          120.26"
"01-Aug-2006","-","-","-","     2351.95","        2268427","           88.19"
"02-Aug-2006","-","-","-","     2369.11","        1795229","           76.94"
"03-Aug-2006","-","-","-","     2382.32","        5092544","          195.16"
"04-Aug-2006","-","-","-","     2392.15","        4638302","          178.27"
"07-Aug-2006","-","-","-","     2384.60","        3469438","          120.62"
"08-Aug-2006","-","-","-","     2411.41","        3639758","          142.35"
"09-Aug-2006","-","-","-","     2442.65","        2879483","          122.20"
"10-Aug-2006","-","-","-","     2457.71","        3652464","          145.55"
"11-Aug-2006","-","-","-","     2466.08","        3508698","          122.76"
"14-Aug-2006","-","-","-","     2506.61","        4368312","          146.28"
"16-Aug-2006","-","-","-","     2536.93","        5562399","          226.68"
"17-Aug-2006","-","-","-","     2545.72","        3289421","          177.08"
"18-Aug-2006","-","-","-","     2598.01","        5475847","          230.53"
"21-Aug-2006","-","-","-","     2602.11","        3999502","          174.01"
"22-Aug-2006","-","-","-","     2583.63","        4955072","          272.68"
"23-Aug-2006","-","-","-","     2546.93","        3393549","          173.72"
"24-Aug-2006","-","-","-","     2562.35","        4008887","          170.21"
"25-Aug-2006","-","-","-","     2571.92","        3549082","          178.26"
"28-Aug-2006","-","-","-","     2564.49","        3713363","          130.97"
"29-Aug-2006","-","-","-","     2580.33","        3485703","          135.66"
"30-Aug-2006","-","-","-","     2597.69","        4032005","          164.67"
"31-Aug-2006","-","-","-","     2606.74","        7577079","          307.22"
"01-Sep-2006","-","-","-","     2664.34","        8039379","          313.33"
"04-Sep-2006","-","-","-","     2672.99","        3044883","          128.10"
"05-Sep-2006","-","-","-","     2677.74","        3114566","          125.26"
"06-Sep-2006","-","-","-","     2690.69","        3084687","          127.00"
"07-Sep-2006","-","-","-","     2654.75","        3074951","          129.71"
"08-Sep-2006","-","-","-","     2678.86","        2826616","          119.38"
"11-Sep-2006","-","-","-","     2579.93","        4094898","          170.75"
"12-Sep-2006","-","-","-","     2597.71","        2884585","          106.52"
"13-Sep-2006","-","-","-","     2645.78","        2861609","          109.08"
"14-Sep-2006","-","-","-","     2659.01","        3285087","          166.03"
"15-Sep-2006","-","-","-","     2655.37","        2703792","          114.79"
"18-Sep-2006","-","-","-","     2687.34","        4817309","          199.32"
"19-Sep-2006","-","-","-","     2656.61","        5407775","          246.86"
"20-Sep-2006","-","-","-","     2659.60","        3663532","          150.49"
"21-Sep-2006","-","-","-","     2687.69","        3073574","          136.60"
"22-Sep-2006","-","-","-","     2685.54","        2923762","          119.86"
"25-Sep-2006","-","-","-","     2664.13","        1802748","           74.66"
"26-Sep-2006","-","-","-","     2677.22","        2312989","           99.44"
"27-Sep-2006","-","-","-","     2686.89","        4909388","          186.50"
"28-Sep-2006","-","-","-","     2681.87","        6529023","          293.16"
"29-Sep-2006","-","-","-","     2691.56","        3638096","          147.16"
"03-Oct-2006","-","-","-","     2661.62","        3398412","          147.29"
"04-Oct-2006","-","-","-","     2636.60","        3711722","          165.07"
"05-Oct-2006","-","-","-","     2655.26","        2826050","          117.42"
"06-Oct-2006","-","-","-","     2647.06","        2446760","          108.92"
"09-Oct-2006","-","-","-","     2658.72","        2379626","           90.77"
"10-Oct-2006","-","-","-","     2659.63","        3236953","          142.59"
"11-Oct-2006","-","-","-","     2630.24","        3344163","          134.77"
"12-Oct-2006","-","-","-","     2655.23","        4399093","          183.88"
"13-Oct-2006","-","-","-","     2673.81","        3933003","          159.21"
"16-Oct-2006","-","-","-","     2686.64","        2831671","          110.93"
"17-Oct-2006","-","-","-","     2658.05","        3802092","          141.20"
"18-Oct-2006","-","-","-","     2705.14","        6677907","          281.76"
"19-Oct-2006","-","-","-","     2674.01","        5429143","          239.97"
"20-Oct-2006","-","-","-","     2663.30","        2496496","          104.06"
"21-Oct-2006","-","-","-","     2667.84","         537931","           21.35"
"23-Oct-2006","-","-","-","     2636.33","        3271514","          129.28"
"26-Oct-2006","-","-","-","     2633.07","        5149348","          218.13"
"27-Oct-2006","-","-","-","     2648.50","        2727456","          120.16"
"30-Oct-2006","-","-","-","     2660.52","        4692608","          247.05"
"31-Oct-2006","-","-","-","     2652.66","        3693534","          177.69"
"01-Nov-2006","-","-","-","     2650.28","        3303094","          138.76"
"02-Nov-2006","-","-","-","     2672.03","        3529751","          160.75"
"03-Nov-2006","-","-","-","     2680.02","        3717883","          168.71"
"06-Nov-2006","-","-","-","     2708.16","        3088377","          125.88"
"07-Nov-2006","-","-","-","     2715.31","        4084558","          193.03"
"08-Nov-2006","-","-","-","     2700.61","        3645232","          165.94"
"09-Nov-2006","-","-","-","     2723.01","        3250508","          145.59"
"10-Nov-2006","-","-","-","     2744.46","        3266334","          163.13"
"13-Nov-2006","-","-","-","     2756.66","        2689815","          125.69"
"14-Nov-2006","-","-","-","     2774.78","        7432495","          370.63"
"15-Nov-2006","-","-","-","     2785.27","        7595660","          395.51"
"16-Nov-2006","-","-","-","     2753.52","        4791464","          253.25"
"17-Nov-2006","-","-","-","     2703.23","        6298428","          357.99"
"20-Nov-2006","-","-","-","     2667.19","        4449980","          207.11"
"21-Nov-2006","-","-","-","     2688.00","        2951378","          150.42"
"22-Nov-2006","-","-","-","     2717.84","        3564662","          184.33"
"23-Nov-2006","-","-","-","     2708.62","        2544466","          134.10"
"24-Nov-2006","-","-","-","     2729.12","        3332148","          168.94"
"27-Nov-2006","-","-","-","     2726.17","        2125274","          107.01"
"28-Nov-2006","-","-","-","     2715.93","        3868976","          213.73"
"29-Nov-2006","-","-","-","     2725.09","        3837102","          183.79"
