"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"21-May-1997","        0.00","        0.00","        0.00","     1332.26","         203457","            2.38"
"22-May-1997","        0.00","        0.00","        0.00","     1320.62","          72820","            2.04"
"23-May-1997","        0.00","        0.00","        0.00","     1310.12","         614093","            4.85"
"26-May-1997","        0.00","        0.00","        0.00","     1317.73","         141896","            1.07"
"27-May-1997","        0.00","        0.00","        0.00","     1310.50","         154294","            1.65"
"28-May-1997","        0.00","        0.00","        0.00","     1301.84","         144895","            1.47"
"29-May-1997","        0.00","        0.00","        0.00","     1314.77","          76739","            0.85"
"30-May-1997","        0.00","        0.00","        0.00","     1330.07","         104713","            1.47"
"02-Jun-1997","        0.00","        0.00","        0.00","     1336.69","          76672","            0.96"
"03-Jun-1997","        0.00","        0.00","        0.00","     1342.36","          75948","            1.45"
"04-Jun-1997","        0.00","        0.00","        0.00","     1358.49","         197499","            2.21"
"05-Jun-1997","        0.00","        0.00","        0.00","     1368.19","          85765","            2.02"
"06-Jun-1997","        0.00","        0.00","        0.00","     1368.31","         141282","            2.25"
"09-Jun-1997","        0.00","        0.00","        0.00","     1370.19","         287174","            4.43"
"10-Jun-1997","        0.00","        0.00","        0.00","     1487.76","        1130360","           24.13"
"11-Jun-1997","        0.00","        0.00","        0.00","     1520.36","         886385","           10.88"
"12-Jun-1997","        0.00","        0.00","        0.00","     1521.57","         524007","            5.26"
"13-Jun-1997","        0.00","        0.00","        0.00","     1524.23","        1446140","           24.57"
"16-Jun-1997","        0.00","        0.00","        0.00","     1470.64","         430526","            5.99"
"17-Jun-1997","        0.00","        0.00","        0.00","     1509.00","         571757","            9.09"
"18-Jun-1997","        0.00","        0.00","        0.00","     1541.57","         322697","           19.37"
"19-Jun-1997","        0.00","        0.00","        0.00","     1527.40","         788984","           19.85"
"20-Jun-1997","        0.00","        0.00","        0.00","     1511.31","         358840","            3.99"
"23-Jun-1997","        0.00","        0.00","        0.00","     1492.10","         134582","            1.41"
"24-Jun-1997","        0.00","        0.00","        0.00","     1495.35","         192976","            2.65"
"25-Jun-1997","        0.00","        0.00","        0.00","     1496.84","         356620","            4.61"
"26-Jun-1997","        0.00","        0.00","        0.00","     1511.04","          98550","            1.07"
"27-Jun-1997","        0.00","        0.00","        0.00","     1502.69","         182987","            2.12"
"30-Jun-1997","        0.00","        0.00","        0.00","     1574.84","         120473","            1.63"
"01-Jul-1997","        0.00","        0.00","        0.00","     1585.11","         177445","            3.60"
"02-Jul-1997","        0.00","        0.00","        0.00","     1599.94","         197680","            2.57"
"03-Jul-1997","        0.00","        0.00","        0.00","     1590.24","         156787","            2.82"
"04-Jul-1997","        0.00","        0.00","        0.00","     1615.54","         228752","            5.12"
"07-Jul-1997","        0.00","        0.00","        0.00","     1674.84","         182068","            5.68"
"08-Jul-1997","        0.00","        0.00","        0.00","     1656.72","         258735","            4.67"
"09-Jul-1997","        0.00","        0.00","        0.00","     1720.86","         414873","            7.86"
"10-Jul-1997","        0.00","        0.00","        0.00","     1735.91","         616680","            7.57"
"11-Jul-1997","        0.00","        0.00","        0.00","     1799.65","         499742","            9.45"
"14-Jul-1997","        0.00","        0.00","        0.00","     1804.75","         159538","            3.78"
"15-Jul-1997","        0.00","        0.00","        0.00","     1791.78","         382069","            7.66"
"16-Jul-1997","        0.00","        0.00","        0.00","     1837.88","         404345","            6.56"
"17-Jul-1997","        0.00","        0.00","        0.00","     1864.25","         336028","            6.05"
"18-Jul-1997","        0.00","        0.00","        0.00","     1822.34","         490523","            8.14"
"21-Jul-1997","        0.00","        0.00","        0.00","     1815.47","        1270444","           16.21"
"22-Jul-1997","        0.00","        0.00","        0.00","     1879.54","        1223314","           18.20"
"23-Jul-1997","        0.00","        0.00","        0.00","     1931.59","        1041061","           14.25"
"24-Jul-1997","        0.00","        0.00","        0.00","     1898.71","         581181","            7.33"
"25-Jul-1997","        0.00","        0.00","        0.00","     1873.49","         646515","            8.04"
"28-Jul-1997","        0.00","        0.00","        0.00","     1928.17","         465939","            6.47"
"29-Jul-1997","        0.00","        0.00","        0.00","     1940.33","         371771","            6.39"
"30-Jul-1997","        0.00","        0.00","        0.00","     1956.63","         643569","            7.91"
"31-Jul-1997","        0.00","        0.00","        0.00","     2017.48","         923694","           14.79"
"01-Aug-1997","        0.00","        0.00","        0.00","     2083.78","         655168","           15.09"
"04-Aug-1997","        0.00","        0.00","        0.00","     2159.83","         569772","            8.57"
"05-Aug-1997","        0.00","        0.00","        0.00","     2203.15","         669903","            6.66"
"06-Aug-1997","        0.00","        0.00","        0.00","     2211.88","         879352","           11.68"
"07-Aug-1997","        0.00","        0.00","        0.00","     2210.67","         516449","            6.92"
"08-Aug-1997","        0.00","        0.00","        0.00","     2188.11","         574266","            8.79"
"11-Aug-1997","        0.00","        0.00","        0.00","     2223.13","         406204","           11.17"
"12-Aug-1997","        0.00","        0.00","        0.00","     2202.34","         619620","           18.06"
"13-Aug-1997","        0.00","        0.00","        0.00","     2189.17","         357524","            5.67"
"14-Aug-1997","        0.00","        0.00","        0.00","     2134.51","         527571","           10.49"
"19-Aug-1997","        0.00","        0.00","        0.00","     2177.26","         599908","           14.57"
"20-Aug-1997","        0.00","        0.00","        0.00","     2202.87","         446023","            7.10"
"21-Aug-1997","        0.00","        0.00","        0.00","     2180.22","         340598","            6.04"
"22-Aug-1997","        0.00","        0.00","        0.00","     2165.34","         486357","            7.45"
"26-Aug-1997","        0.00","        0.00","        0.00","     2216.50","         253514","            3.93"
"27-Aug-1997","        0.00","        0.00","        0.00","     2279.90","         362595","            7.89"
"28-Aug-1997","        0.00","        0.00","        0.00","     2219.79","         392768","            7.81"
"29-Aug-1997","        0.00","        0.00","        0.00","     2171.41","         544536","           11.16"
"01-Sep-1997","        0.00","        0.00","        0.00","     2230.69","         491446","            8.02"
"02-Sep-1997","        0.00","        0.00","        0.00","     2291.14","         367035","            8.17"
"03-Sep-1997","        0.00","        0.00","        0.00","     2340.14","         499394","           11.14"
"04-Sep-1997","        0.00","        0.00","        0.00","     2351.78","         678736","           13.16"
"05-Sep-1997","        0.00","        0.00","        0.00","     2411.58","         654797","           13.20"
"08-Sep-1997","        0.00","        0.00","        0.00","     2625.75","        1197817","           28.20"
"09-Sep-1997","        0.00","        0.00","        0.00","     2676.00","        1432056","           24.72"
"10-Sep-1997","        0.00","        0.00","        0.00","     2622.49","        1535675","           25.55"
"11-Sep-1997","        0.00","        0.00","        0.00","     2554.66","        1063640","           14.74"
"12-Sep-1997","        0.00","        0.00","        0.00","     2574.17","         715318","           14.15"
"15-Sep-1997","        0.00","        0.00","        0.00","     2532.63","         903968","           14.51"
"16-Sep-1997","        0.00","        0.00","        0.00","     2496.63","         619855","           10.12"
"17-Sep-1997","        0.00","        0.00","        0.00","     2444.74","         913901","           18.11"
"18-Sep-1997","        0.00","        0.00","        0.00","     2419.29","         883107","           17.94"
"19-Sep-1997","        0.00","        0.00","        0.00","     2440.86","         662615","           15.97"
"22-Sep-1997","        0.00","        0.00","        0.00","     2423.77","         546590","           11.82"
"23-Sep-1997","        0.00","        0.00","        0.00","     2467.04","        1107767","           20.28"
"24-Sep-1997","        0.00","        0.00","        0.00","     2525.32","         791134","           18.30"
"25-Sep-1997","        0.00","        0.00","        0.00","     2576.39","         632464","           13.14"
"26-Sep-1997","        0.00","        0.00","        0.00","     2646.28","         730510","           16.78"
"29-Sep-1997","        0.00","        0.00","        0.00","     2699.24","         775445","           17.42"
"30-Sep-1997","        0.00","        0.00","        0.00","     2680.70","         947282","           21.54"
